timestamp_iso,filename,result_type,raw_score,threshold,file_path,file_sha256,file_size_bytes,decoded_width,decoded_height,backend_used,backend_note
2026-07-12T13:54:53.346097Z,gA_282.jpg,fraudulent,0.978224,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_282.jpg,38f9d970904e750ed7bee9161cd980232787e2a538dda0bd492caa984e0db976,68091,852,1846,native-opencv,ok
2026-07-12T13:54:54.035492Z,gA_283.jpg,fraudulent,0.390160,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_283.jpg,1b25629efb92b56d1410fecb8ded812511a1d463ba1faa5d8b1b1099658a7d3d,65362,720,1600,native-opencv,ok
2026-07-12T13:54:54.681971Z,gA_284.jpg,genuine,0.017044,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_284.jpg,7bf288b9938264fb3eecb5f635cce5bdba8fee11309529c848df0fb473ee0b03,79763,720,1600,native-opencv,ok
2026-07-12T13:54:55.233679Z,gA_285.jpg,genuine,0.017044,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_285.jpg,467712d251d54a51128f3c2fa35147786376dfd0af4454e1cd256d42a6b97ac6,74504,720,1600,native-opencv,ok
2026-07-12T13:54:55.849690Z,gA_287.jfif,unclear,0.187904,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_287.jfif,8dfdc574863619cb4e7a2722704ee0bb63f136a98bd1ff39e2d3284b67610e24,44468,720,1600,native-opencv,ok
2026-07-12T13:54:56.580142Z,gA_288.jfif,genuine,0.011700,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_288.jfif,1535868cf34b353d19b1ff36e10b7b9d3481e7dd27a19d078d765932109c159d,37689,720,1675,native-opencv,ok
2026-07-12T13:54:57.169787Z,gA_289.jfif,genuine,0.089695,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_289.jfif,55483c9787bcf95e7853092a43ffcc4ed79ea36fa35e360f37c4deaa309d7ff7,33262,720,1502,native-opencv,ok
2026-07-12T13:54:57.718841Z,gA_291.jfif,unclear,0.123841,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_291.jfif,a4859ac04bcd05b9258735eca67ff5fbde2e07ae1c3f77740618a8e027e30ea4,46305,720,1600,native-opencv,ok
2026-07-12T13:54:58.224384Z,gA_292.jfif,unclear,0.174802,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_292.jfif,74c93783dbc3c59b159b0ad7654ab1738fe61ff9e82c2c3c0dee25056a5d8cb3,46180,720,1600,native-opencv,ok
2026-07-12T13:54:58.824845Z,gA_303.jfif,unclear,0.130816,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_303.jfif,01de328f113ea5f44850afcef9272a11f444e91ed2414ebe952ad7cdd4654c2c,44731,720,1600,native-opencv,ok
2026-07-12T13:54:59.301654Z,gA_304.jfif,genuine,0.018245,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_304.jfif,769538dcb857495fd0c594120bb60471132c2d0946b5e2b3ce74431537240fcd,42451,720,1600,native-opencv,ok
2026-07-12T13:54:59.898035Z,gA_305.jfif,genuine,0.037608,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_305.jfif,944013b70845623dbc51fde9a6b8e8d5334bd17ecaef2b110242e9ef7eb4e720,36308,720,1530,native-opencv,ok
2026-07-12T13:55:00.444127Z,gA_306.jfif,unclear,0.186692,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_306.jfif,e37c8f1bca845c19740c329c06f7e4ee902860825cd11d20084352e8509772f9,43872,720,1600,native-opencv,ok
2026-07-12T13:55:01.114043Z,gA_307.jfif,genuine,0.000228,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_307.jfif,fd724113e4d0e733254a16f26d54e5bc1429da015ef94cbde6b12c9cdd8329bb,60804,720,1649,native-opencv,ok
2026-07-12T13:55:01.730961Z,gA_308.jfif,unclear,0.142467,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_308.jfif,0e22a1f8f85fe95f40fdfe268bda391c5d87cf4f25d191cfaa90f102641c4898,44688,720,1600,native-opencv,ok
2026-07-12T13:55:02.387957Z,gA_309.jfif,genuine,0.039687,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_309.jfif,9e11ffefb204781e40045b43ab67b49e7cd21ee26598256967fed7305b571561,33761,720,1530,native-opencv,ok
2026-07-12T13:55:03.008418Z,gA_310.jfif,genuine,0.000516,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_310.jfif,c1864a8d77371c82ab0ce93092b6f9979ac841bc8b9c604480d85f6f05f02bf8,36269,720,1649,native-opencv,ok
2026-07-12T13:55:03.662075Z,gA_311.jfif,genuine,0.041339,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_311.jfif,860ae71e876612ddbd5905bb9d695ae39cc2dce3ab4b48f4189448405662dab0,43927,720,1600,native-opencv,ok
2026-07-12T13:55:04.308679Z,gA_312.jfif,genuine,0.036331,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_312.jfif,73a2205b7f1f1315ffaac981af8ce3bbe5bfe3bffb2b3c0a851a75d65464b606,40165,720,2030,native-opencv,ok
2026-07-12T13:55:04.932851Z,gA_313.jfif,genuine,0.005822,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_313.jfif,8c7d3f3cdbee49027e32670fb65ed2733f52d8c29339c15a2f147e6efe307675,53429,620,1448,native-opencv,ok
2026-07-12T13:55:05.490362Z,gA_314.jfif,genuine,0.030648,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_314.jfif,5d3f7d6a414f2f740c332554e6c9732b48c66b618f9e8627db6682c08f235a56,33716,720,1502,native-opencv,ok
2026-07-12T13:55:06.293859Z,gA_315.jfif,genuine,0.038323,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_315.jfif,7891cd295c217253a10a8c9934bbb7e4f5a5c89b6dec65b6ae226f04ca16c1af,64161,900,2045,native-opencv,ok
2026-07-12T13:55:06.920846Z,gA_316.jpg,genuine,0.004563,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_316.jpg,dbba31a1af8264d0c1bfb0312df87f7d6ed63c75a7c04a26a422a361c8ab776d,48484,720,1502,native-opencv,ok
2026-07-12T13:55:07.422563Z,gA_317.jpg,genuine,0.046990,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_317.jpg,87b58a22c20dea3d0b8764d2cc28007a0035e3060dbbe15d520eb64eabb86909,48714,720,1502,native-opencv,ok
2026-07-12T13:55:08.249929Z,gA_318.jpg,genuine,0.073828,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_318.jpg,20361b021de25c1c4e3c66110d74b744b3d5a7b28ab1455ed1955c39927eb033,48634,720,1502,native-opencv,ok
2026-07-12T13:55:08.843128Z,gA_319.jpg,genuine,0.022426,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_319.jpg,e02ae04d74817756f617320de089fb127ee47d9b2309269ebb6b7d657e7b1a72,55347,720,2030,native-opencv,ok
2026-07-12T13:55:09.316737Z,gA_320.jpg,genuine,0.023731,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_320.jpg,f713b5b091db010dcbd918773c9dd8846b31e21d6c4a0035f27f011008577cd9,50677,720,1530,native-opencv,ok
2026-07-12T13:55:09.846252Z,gA_321.jpg,fraudulent,0.227817,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_321.jpg,b0ab6354b65d4330fea557f55c90e93bcb165333259c76aeb2571a3261039111,51274,720,1530,native-opencv,ok
2026-07-12T13:55:10.398377Z,gA_322.jpg,genuine,0.029203,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_322.jpg,998044a64257325de478d726c8001b5235188ecd60211c855a7e559ff74d4df7,53737,720,2030,native-opencv,ok
2026-07-12T13:55:10.916061Z,gA_323.jpg,genuine,0.018886,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_323.jpg,392d3f46f9df64a0af4f6c95ef8f4f3e9c302cc07ef78233ea66de69bc442938,52872,720,1530,native-opencv,ok
2026-07-12T13:55:11.405648Z,gA_324.jpg,unclear,0.181814,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_324.jpg,24e3f217c281f9ce92978e64bc74fc2ef98b0fd514352b0ffe552835c3ae1a2f,52392,720,1530,native-opencv,ok
2026-07-12T13:55:11.950156Z,gA_327.jpg,unclear,0.180630,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_327.jpg,083b9ed136db7dc394a4098122fa7619785f330f781b64424550ebe43f1c5032,52277,720,1530,native-opencv,ok
2026-07-12T13:55:12.461947Z,gA_328.jpg,genuine,0.014910,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_328.jpg,4306e48b03a81596d1d75af14cdcd669f05688a2a25de619745daf803c48560e,54945,720,2030,native-opencv,ok
2026-07-12T13:55:12.998620Z,gA_329.jpg,genuine,0.049908,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_329.jpg,2f295ba4e12983c15ceb962a2f835a66ec6a74a749c43259247ee594bc896a5f,50782,720,1502,native-opencv,ok
2026-07-12T13:55:13.478252Z,gA_330.jpg,genuine,0.100301,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_330.jpg,1703d6ed95cd954ebc0eb9f1adfd46e58817bfa3935af2865de70b72e6ca616c,52012,720,1530,native-opencv,ok
2026-07-12T13:55:14.029653Z,gA_331.jpg,genuine,0.022372,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_331.jpg,668f2208330777f10be4a2fbba0a035f3558c4f80d3516bb127b382f80da84a9,50091,720,1502,native-opencv,ok
2026-07-12T13:55:14.509382Z,gA_332.jpg,genuine,0.032931,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_332.jpg,eda87cef5138bd6ed000640c2d2b2909ef7c7c7fa6869c1c45febc77e72e9abe,50159,720,1502,native-opencv,ok
2026-07-12T13:55:15.020791Z,gA_333.jpg,genuine,0.077298,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_333.jpg,ad1760b598e8d7947461839b79e8b7b1a610e80ae37f422e8fe77ac20627016a,52425,720,1530,native-opencv,ok
2026-07-12T13:55:15.523804Z,gA_334.jpg,genuine,0.067328,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_334.jpg,26e952a35c0305fc73a7e6b2905980c68d630206061c992f7e8557c9c2d1eb07,49991,720,1502,native-opencv,ok
2026-07-12T13:55:16.019908Z,gA_335.jpg,genuine,0.082187,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_335.jpg,fe4c4cec26eb60ee420e3777347f33738aae99ad7950cc324aa4ad2c1ccf5ab8,52416,720,1530,native-opencv,ok
2026-07-12T13:55:16.530488Z,gA_336.jpg,unclear,0.159356,0.16,/storage/emulated/0/Android/data/com.example.vivy_app/files/vivy_debug_batch/batch_inbox/gA_336.jpg,58aa72ca995260da447ec26fe5ddfcae18e27fb46410f7d5e916fb3a708f34ed,51560,720,1530,native-opencv,ok
